date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
2019-07-03,"('AZUL4', 'GOLL4')",True,44.16,35.57,0.9855773774630663,,-2.8153182921583095,1.2627339445770331,1.2627339445770331,-2.8153182921583095,44.16,35.57,2019-07-03,0.6313669722885203,1265.2594124661873,5000.0,0
2019-07-04,"('AZUL4', 'GOLL4')",close,46.75,38.17,0.9855773774630663,VAR CLOSE,-2.700922488363169,1.2740439753027981,1.2627339445770331,-2.8153182921583095,44.16,35.57,2019-07-03,0.6313669722885203,1265.2594124661873,5000.0,1
2019-07-05,"('AZUL4', 'GOLL4')",True,48.45,40.55,0.9754730266575762,,-3.2141186545419345,1.2905136940565518,1.2905136940565518,-3.2141186545419345,48.45,40.55,2019-07-05,0.6452568470282847,1293.0947214446649,6000.0,0
2019-07-08,"('AZUL4', 'GOLL4')",close,48.73,41.06,0.9754730266575762,VAR CLOSE,-3.299682509548852,1.3070966820283838,1.2905136940565518,-3.2141186545419345,48.45,40.55,2019-07-05,0.6452568470282847,1293.0947214446649,6000.0,1
2019-08-07,"('AZUL4', 'GOLL4')",True,53.12,39.64,0.9475127791903617,,2.719124788642624,1.258946838027715,1.258946838027715,2.719124788642624,53.12,39.64,2019-08-07,0.6294734190138641,1261.4647317037704,5000.0,0
2019-08-08,"('AZUL4', 'GOLL4')",close,54.55,40.13,0.9475127791903617,VAR CLOSE,3.6221133297478474,1.2718345942031488,1.258946838027715,2.719124788642624,53.12,39.64,2019-08-07,0.6294734190138641,1261.4647317037704,5000.0,1
2019-08-09,"('AZUL4', 'GOLL4')",True,55.47,40.71,0.952722710379411,,3.919138601388795,1.290816940738868,1.290816940738868,3.919138601388795,55.47,40.71,2019-08-09,0.6454084703694266,1293.398574620346,5000.0,0
2019-08-12,"('AZUL4', 'GOLL4')",close,54.3,37.78,0.952722710379411,VAR CLOSE,5.4643578182660235,1.3308447402236692,1.290816940738868,3.919138601388795,55.47,40.71,2019-08-09,0.6454084703694266,1293.398574620346,5000.0,1
2019-08-13,"('AZUL4', 'GOLL4')",True,53.55,38.24,0.9583353741311929,,4.216165982692843,1.3515067538317609,1.3515067538317609,4.216165982692843,53.55,38.24,2019-08-13,0.6757533769158955,1354.2097673394244,5000.0,0
2019-08-14,"('AZUL4', 'GOLL4')",close,50.97,36.53,0.9583353741311929,VAR CLOSE,3.238026653150442,1.361100749979498,1.3515067538317609,4.216165982692843,53.55,38.24,2019-08-13,0.6757533769158955,1354.2097673394244,5000.0,1
2019-08-15,"('AZUL4', 'GOLL4')",True,50.56,35.84,0.9607450887785375,,3.454015628038924,1.3717374932302362,1.3717374932302362,3.454015628038924,50.56,35.84,2019-08-15,0.6858687466151191,1374.4809682166967,5000.0,0
2019-08-16,"('AZUL4', 'GOLL4')",close,50.47,35.11,0.9607450887785375,VAR CLOSE,4.025376527286596,1.3909427795424938,1.3717374932302362,3.454015628038924,50.56,35.84,2019-08-15,0.6858687466151191,1374.4809682166967,5000.0,1
2019-08-19,"('AZUL4', 'GOLL4')",True,49.83,35.03,0.9630534924070558,,3.4313694723388934,1.4008060146866843,1.4008060146866843,3.4313694723388934,49.83,35.03,2019-08-19,0.7004030073433568,1403.6076267160577,5000.0,0
2019-08-20,"('AZUL4', 'GOLL4')",close,49.68,35.53,0.9630534924070558,VAR CLOSE,2.772675982316777,1.409519386100158,1.4008060146866843,3.4313694723388934,49.83,35.03,2019-08-19,0.7004030073433568,1403.6076267160577,5000.0,1
2019-08-21,"('AZUL4', 'GOLL4')",True,50.85,35.31,0.9655945297459365,,4.115252860296501,1.4304617323377549,1.4304617323377549,4.115252860296501,50.85,35.31,2019-08-21,0.7152308661688659,1433.3226558024303,5000.0,0
2019-08-22,"('AZUL4', 'GOLL4')",close,48.94,33.52,0.9655945297459365,VAR CLOSE,3.902569587678954,1.4493079161777007,1.4304617323377549,4.115252860296501,50.85,35.31,2019-08-21,0.7152308661688659,1433.3226558024303,5000.0,1
2019-08-29,"('AZUL4', 'GOLL4')",True,48.55,33.88,0.9712474644645561,,3.073117909006328,1.4844761825071182,1.4844761825071182,3.073117909006328,48.55,33.88,2019-08-29,0.7422380912535422,1487.4451348721325,6000.0,0
2019-08-30,"('AZUL4', 'GOLL4')",close,47.1,33.32,0.9712474644645561,VAR CLOSE,2.148846957963457,1.490610508967687,1.4844761825071182,3.073117909006328,48.55,33.88,2019-08-29,0.7422380912535422,1487.4451348721325,6000.0,1
2019-09-04,"('AZUL4', 'GOLL4')",True,47.11,32.12,0.9738574748643882,,3.2714952415147778,1.5202115374105982,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7601057687053079,1523.2519604854194,6000.0,0
2019-09-05,"('AZUL4', 'GOLL4')",close,49.22,34.13,0.9738574748643882,VAR CLOSE,3.3965556804025283,1.5349172523329924,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7601057687053079,1523.2519604854194,6000.0,1
2019-09-06,"('AZUL4', 'GOLL4')",True,49.35,34.18,0.9767942053366641,,3.448599484797448,1.550334551396799,1.550334551396799,3.448599484797448,49.35,34.18,2019-09-06,0.7751672756983782,1553.4352204995926,6000.0,0
2019-09-09,"('AZUL4', 'GOLL4')",close,48.39,32.82,0.9767942053366641,VAR CLOSE,3.7913406374875223,1.5678449092674693,1.550334551396799,3.448599484797448,49.35,34.18,2019-09-06,0.7751672756983782,1553.4352204995926,6000.0,1
