date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open,correlation,correlation_limit,var_limit
2019-04-24,"('CCRO3', 'ECOR3')",True,11.19,8.42,1.1925779057955284,,1.0180511495164382,0.4243235185641486,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,0,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-25,"('CCRO3', 'ECOR3')",True,11.18,8.45,1.1925779057955284,,0.97058509068615,0.4271945435997769,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,1,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-26,"('CCRO3', 'ECOR3')",True,11.34,8.46,1.1925779057955284,,1.116132897686672,0.4317139856236698,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,2,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-29,"('CCRO3', 'ECOR3')",True,10.93,8.25,1.1925779057955284,,0.9535285293498426,0.4352836314406903,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,3,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-30,"('CCRO3', 'ECOR3')",True,11.06,8.11,1.1925779057955284,,1.245401568600423,0.4419150095867336,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,4,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-05-02,"('CCRO3', 'ECOR3')",True,11.19,8.05,1.1925779057955284,,1.439361448221696,0.4511867413217764,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,5,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-05-03,"('CCRO3', 'ECOR3')",True,11.33,8.25,1.1925779057955284,,1.3370943037453937,0.45873602596666335,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,6,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-05-06,"('CCRO3', 'ECOR3')",close,11.63,8.54,1.1925779057955284,1.1845665497455284,1.2893343827037764,0.46557995572474004,0.4243235185641486,1.0180511495164382,11.19,8.42,2019-04-24,0.21216175928207676,425.1721656012769,6.0,7,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-24,"('ECOR3', 'CCRO3')",True,8.42,11.19,0.7826520361720091,,-0.8167677472169128,0.34374634081815203,0.34374634081815203,-0.8167677472169128,8.42,11.19,2019-04-24,0.1718731704090708,344.4338334997883,6.0,0,0.9661125846735574,0.8229557351837617,-0.031215941779263123
2019-04-25,"('ECOR3', 'CCRO3')",True,8.45,11.18,0.7826520361720091,,-0.7773714640155536,0.34603116124444544,0.34374634081815203,-0.8167677472169128,8.42,11.19,2019-04-24,0.1718731704090708,344.4338334997883,6.0,1,0.9661125846735574,0.8229557351837617,-0.031215941779263123
