,date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
12,2019-08-15,"('BRML3', 'MULT3')",True,14.31,25.48,0.5590652625266044,,0.7199678428501493,0.35679357524428545,0.34959001352747543,0.9175223907765719,15.04,26.48,2019-08-09,0.17479500676374946,1.3983600541099135,7.0,4
13,2019-08-16,"('BRML3', 'MULT3')",True,14.28,25.44,0.5590652625266044,,0.7061522975028449,0.359492350411694,0.34959001352747543,0.9175223907765719,15.04,26.48,2019-08-09,0.17479500676374946,1.3983600541099135,7.0,5
14,2019-08-19,"('BRML3', 'MULT3')",True,13.97,25.54,0.5590652625266044,,0.3373456454816992,0.35981472604583875,0.34959001352747543,0.9175223907765719,15.04,26.48,2019-08-09,0.17479500676374946,1.3983600541099135,7.0,6
15,2019-08-20,"('BRML3', 'MULT3')",True,13.98,25.11,0.5590652625266044,,0.5856352396120297,0.3609829067760312,0.34959001352747543,0.9175223907765719,15.04,26.48,2019-08-09,0.17479500676374946,1.3983600541099135,7.0,7
16,2019-08-21,"('BRML3', 'MULT3')",close,14.12,25.34,0.5590652625266044,0.5639563070659978,0.5914176120324157,0.3627893348345974,0.34959001352747543,0.9175223907765719,15.04,26.48,2019-08-09,0.17479500676374946,1.3983600541099135,7.0,8
0,2019-10-15,"('BBAS3', 'BBDC4')",True,37.92,23.16,1.6840911376240464,,-3.0754758561173148,0.9020306089308348,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,0
1,2019-10-16,"('BBAS3', 'BBDC4')",True,38.45,23.71,1.6840911376240464,,-3.454219846325074,0.9281236600261521,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,1
2,2019-10-17,"('BBAS3', 'BBDC4')",True,38.37,23.31,1.6840911376240464,,-2.850058816554146,0.9451972709667265,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,2
3,2019-10-18,"('BBAS3', 'BBDC4')",True,39.35,23.19,1.6840911376240464,,-1.6628482071123045,0.9498446601026942,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,3
4,2019-10-21,"('BBAS3', 'BBDC4')",True,39.64,23.36,1.6840911376240464,,-1.6500647005879614,0.9545076281094718,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,4
