,date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
24,2019-08-30,"('AZUL4', 'GOLL4')",close,47.1,33.32,0.9667238051664953,0.9725129116937874,2.148846957963457,1.490610508967687,1.4493079161777007,3.9025695876789754,48.94,33.52,2019-08-22,0.7453052544838702,3.981221017935401,5.0,6
25,2019-09-04,"('AZUL4', 'GOLL4')",True,47.11,32.12,0.9738574748643882,,3.2714952415147778,1.5202115374105982,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7601057687053079,4.040423074821206,6.0,0
26,2019-09-05,"('AZUL4', 'GOLL4')",True,49.22,34.13,0.9738574748643882,,3.3965556804025283,1.5349172523329924,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7674586261665072,4.069834504665995,6.0,1
27,2019-09-06,"('AZUL4', 'GOLL4')",True,49.35,34.18,0.9738574748643882,,3.4485994847974553,1.5503345513967992,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7751672756983814,4.10066910279358,6.0,2
28,2019-09-09,"('AZUL4', 'GOLL4')",True,48.39,32.82,0.9738574748643882,,3.7913406374875223,1.5678449092674693,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7839224546337222,4.135689818534926,6.0,3
29,2019-09-10,"('AZUL4', 'GOLL4')",True,48.15,32.82,0.9738574748643882,,3.5279262720150086,1.582689456668169,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7913447283340748,4.165378913336329,6.0,4
30,2019-09-11,"('AZUL4', 'GOLL4')",True,49.39,34.45,0.9738574748643882,,3.1470304148191843,1.594866064250215,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.7974330321250869,4.18973212850041,6.0,5
31,2019-09-12,"('AZUL4', 'GOLL4')",close,52.05,35.88,0.9738574748643882,0.9827511655139362,4.359208250092166,1.6186399249163206,1.5202115374105982,3.2714952415147778,47.11,32.12,2019-09-04,0.8093199624581633,4.237279849832643,6.0,6
0,2019-07-03,"('GOLL4', 'AZUL4')",True,35.57,44.16,0.9803827611959124,,3.261263379393199,1.2594018448539155,1.2594018448539155,3.261263379393199,35.57,44.16,2019-07-03,0.6297009224269792,3.5188036897078523,5.0,0
1,2019-07-04,"('GOLL4', 'AZUL4')",True,38.17,46.75,0.9803827611959124,,3.250207334498171,1.2762912983764805,1.2594018448539155,3.261263379393199,35.57,44.16,2019-07-03,0.6381456491882548,3.5525825967529756,5.0,1
2,2019-07-05,"('GOLL4', 'AZUL4')",close,40.55,48.45,0.9803827611959124,0.98971419802387,3.8583801247286544,1.299899824472777,1.2594018448539155,3.261263379393199,35.57,44.16,2019-07-03,0.6499499122364129,3.5997996489455786,5.0,2
3,2019-08-08,"('GOLL4', 'AZUL4')",True,40.13,54.55,1.0261576795981098,,-3.2965101243291386,1.3219247846172433,1.3219247846172433,-3.2965101243291386,40.13,54.55,2019-08-08,0.6609623923086441,3.643849569234509,5.0,0
4,2019-08-09,"('GOLL4', 'AZUL4')",True,40.71,55.47,1.0261576795981098,,-3.5708755452303294,1.3374235366843739,1.3219247846172433,-3.2965101243291386,40.13,54.55,2019-08-08,0.668711768342181,3.674847073368742,5.0,1
5,2019-08-12,"('GOLL4', 'AZUL4')",close,37.78,54.3,1.0261576795981098,1.0179433646733989,-5.184965690965399,1.3732693093471635,1.3219247846172433,-3.2965101243291386,40.13,54.55,2019-08-08,0.6866346546735684,3.7465386186943137,5.0,2
6,2019-08-13,"('GOLL4', 'AZUL4')",True,38.24,53.55,1.0149367426360363,,-3.8844097616535933,1.390845687578141,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.6954228437890806,3.781691375156292,5.0,0
7,2019-08-14,"('GOLL4', 'AZUL4')",True,36.53,50.97,1.0149367426360363,,-2.9333418781080525,1.3987388925265365,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.6993694462632636,3.7974777850530685,5.0,1
8,2019-08-15,"('GOLL4', 'AZUL4')",True,35.84,50.56,1.0149367426360363,,-3.165089278415209,1.4077802173403224,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.7038901086701558,3.8155604346806395,5.0,2
9,2019-08-16,"('GOLL4', 'AZUL4')",True,35.11,50.47,1.0149367426360363,,-3.749683956907802,1.4247478487486687,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.7123739243743393,3.849495697497342,5.0,3
